,Precio (Euros/Mes),Habitaciones,Tamanyo (m2),Euros/m2
284,775,2 hab.,85,9.12
285,700,3 hab.,160,4.38
286,1300,4 hab.,120,10.83
287,1800,4 hab.,220,8.18
288,1600,3 hab.,157,10.19
289,1300,3 hab.,150,8.67
290,1100,3 hab.,110,10.0
291,1400,3 hab.,94,14.89
292,1750,5 hab.,300,5.83
293,1300,2 hab.,120,10.83
294,550,1 hab.,60,9.17
295,850,4 hab.,108,7.87
296,900,4 hab.,143,6.29
297,650,4 hab.,128,5.08
298,700,4 hab.,139,5.04
299,575,3 hab.,82,7.01
300,900,2 hab.,117,7.69
301,550,1 hab.,80,6.88
302,480,3 hab.,95,5.05
303,800,2 hab.,95,8.42
304,550,2 hab.,80,6.88
305,800,3 hab.,95,8.42
306,2250,2 hab.,80,28.12
307,1850,4 hab.,173,10.69
308,1300,4 hab.,150,8.67
309,800,4 hab.,130,6.15
310,800,3 hab.,130,6.15
311,650,1 hab.,79,8.23
312,875,3 hab.,150,5.83
313,1000,3 hab.,160,6.25
314,1200,2 hab.,135,8.89
315,1000,3 hab.,120,8.33
316,1300,4 hab.,280,4.64
317,1000,4 hab.,140,7.14
318,1300,2 hab.,137,9.49
319,2200,3 hab.,120,18.33
320,600,2 hab.,60,10.0
321,1500,4 hab.,260,5.77
322,1400,5 hab.,180,7.78
323,1000,4 hab.,140,7.14
324,1200,4 hab.,130,9.23
325,950,3 hab.,95,10.0
326,650,3 hab.,73,8.9
327,950,3 hab.,90,10.56
328,900,3 hab.,120,7.5
329,955,2 hab.,119,8.03
330,565,3 hab.,95,5.95
331,525,3 hab.,80,6.56
332,555,3 hab.,87,6.38
333,560,3 hab.,80,7.0
334,565,3 hab.,84,6.73
335,565,3 hab.,93,6.08
336,900,3 hab.,135,6.67
337,800,4 hab.,280,2.86
338,1300,2 hab.,95,13.68
339,800,3 hab.,120,6.67
340,1200,4 hab.,140,8.57
341,1600,3 hab.,130,12.31
342,700,3 hab.,90,7.78
343,1200,3 hab.,137,8.76
344,1150,4 hab.,160,7.19
345,1200,4 hab.,150,8.0
346,850,5 hab.,145,5.86
347,1200,3 hab.,95,12.63
348,1200,2 hab.,120,10.0
349,1200,2 hab.,53,22.64
350,1300,4 hab.,200,6.5
351,575,1 hab.,45,12.78
352,700,2 hab.,70,10.0
353,590,1 hab.,55,10.73
354,1000,3 hab.,160,6.25
355,750,3 hab.,159,4.72
356,650,2 hab.,71,9.15
357,2200,4 hab.,334,6.59
358,850,3 hab.,102,8.33
359,1200,2 hab.,128,9.38
360,1100,4 hab.,120,9.17
361,650,1 hab.,75,8.67
362,950,2 hab.,107,8.88
363,1900,5 hab.,300,6.33
364,555,3 hab.,89,6.24
365,405,2 hab.,60,6.75
366,1300,5 hab.,285,4.56
367,1000,3 hab.,115,8.7
368,1000,4 hab.,165,6.06
369,690,3 hab.,110,6.27
370,600,1 hab.,52,11.54
371,1100,2 hab.,105,10.48
372,515,2 hab.,70,7.36
373,850,2 hab.,145,5.86
374,650,1 hab.,70,9.29
375,980,2 hab.,75,13.07
376,1200,3 hab.,125,9.6
377,650,1 hab.,80,8.12
378,400,3 hab.,76,5.26
379,3000,6 hab.,460,6.52
380,1500,4 hab.,312,4.81
381,2000,2 hab.,87,22.99
382,550,2 hab.,80,6.88
383,380,3 hab.,75,5.07
384,590,2 hab.,64,9.22
385,600,2 hab.,64,9.38
386,650,2 hab.,74,8.78
387,650,2 hab.,74,8.78
388,700,3 hab.,160,4.38
389,1700,6 hab.,260,6.54
390,1200,5 hab.,180,6.67
391,825,3 hab.,120,6.88
392,1300,3 hab.,140,9.29
393,900,4 hab.,120,7.5
394,1150,4 hab.,145,7.93
395,550,,37,14.86
396,3000,3 hab.,90,33.33
397,500,,45,11.11
398,850,3 hab.,110,7.73
399,850,3 hab.,118,7.2
400,650,2 hab.,81,8.02
401,750,4 hab.,138,5.43
402,800,5 hab.,137,5.84
403,453,2 hab.,94,4.82
404,520,3 hab.,84,6.19
405,645,2 hab.,82,7.87
406,430,3 hab.,56,7.68
407,830,3 hab.,147,5.65
408,2500,4 hab.,300,8.33
409,1800,5 hab.,459,3.92
410,900,3 hab.,101,8.91
411,1400,3 hab.,150,9.33
412,1400,4 hab.,170,8.24
413,950,3 hab.,173,5.49
414,1900,4 hab.,320,5.94
415,1300,4 hab.,188,6.91
416,850,3 hab.,157,5.41
417,1200,3 hab.,137,8.76
418,1000,4 hab.,140,7.14
419,1000,4 hab.,119,8.4
420,3500,3 hab.,120,29.17
421,1250,3 hab.,125,10.0
422,1150,4 hab.,148,7.77
423,2000,3 hab.,191,10.47
424,925,3 hab.,133,6.95
425,750,3 hab.,90,8.33
426,775,3 hab.,90,8.61
427,700,2 hab.,70,10.0
428,550,3 hab.,90,6.11
429,900,3 hab.,174,5.17
430,1200,3 hab.,144,8.33
431,900,3 hab.,102,8.82
432,530,1 hab.,60,8.83
433,800,3 hab.,115,6.96
434,800,3 hab.,115,6.96
435,1200,3 hab.,120,10.0
436,680,2 hab.,87,7.82
437,925,3 hab.,170,5.44
438,700,2 hab.,75,9.33
439,1800,4 hab.,300,6.0
440,850,3 hab.,103,8.25
441,740,3 hab.,130,5.69
442,1150,4 hab.,140,8.21
443,750,2 hab.,97,7.73
444,1100,4 hab.,210,5.24
445,2500,3 hab.,120,20.83
446,650,2 hab.,60,10.83
447,1400,3 hab.,285,4.91
448,1300,3 hab.,110,11.82
449,1150,4 hab.,200,5.75
450,1000,3 hab.,80,12.5
451,500,3 hab.,60,8.33
452,550,1 hab.,120,4.58
453,500,2 hab.,75,6.67
454,800,2 hab.,70,11.43
455,550,,65,8.46
456,600,1 hab.,40,15.0
457,580,3 hab.,70,8.29
458,590,3 hab.,90,6.56
459,800,3 hab.,94,8.51
460,565,3 hab.,93,6.08
461,565,3 hab.,84,6.73
462,560,3 hab.,80,7.0
463,555,3 hab.,87,6.38
464,525,3 hab.,80,6.56
465,565,3 hab.,95,5.95
466,575,3 hab.,90,6.39
467,800,3 hab.,100,8.0
468,800,2 hab.,90,8.89
469,750,3 hab.,115,6.52
470,650,1 hab.,65,10.0
471,980,5 hab.,240,4.08
472,650,2 hab.,123,5.28
473,900,3 hab.,120,7.5
474,850,3 hab.,105,8.1
475,740,3 hab.,130,5.69
476,900,4 hab.,120,7.5
477,800,1 hab.,50,16.0
478,2200,3 hab.,155,14.19
479,1300,2 hab.,140,9.29
480,850,3 hab.,148,5.74
481,420,2 hab.,66,6.36
482,400,3 hab.,78,5.13
483,500,3 hab.,76,6.58
484,1100,3 hab.,120,9.17
485,1800,2 hab.,143,12.59
486,1300,4 hab.,185,7.03
487,600,2 hab.,75,8.0
488,850,4 hab.,110,7.73
489,1100,2 hab.,110,10.0
490,800,3 hab.,112,7.14
491,550,2 hab.,90,6.11
492,525,2 hab.,68,7.72
493,800,4 hab.,160,5.0
494,550,3 hab.,106,5.19
495,800,4 hab.,160,5.0
496,950,3 hab.,120,7.92
497,950,3 hab.,120,7.92
498,1200,5 hab.,340,3.53
499,650,3 hab.,104,6.25
500,1550,2 hab.,75,20.67
501,825,3 hab.,135,6.11
502,800,3 hab.,120,6.67
503,900,3 hab.,95,9.47
504,600,3 hab.,100,6.0
505,1500,4 hab.,260,5.77
506,2500,3 hab.,267,9.36
507,650,3 hab.,80,8.12
508,950,3 hab.,120,7.92
509,550,3 hab.,80,6.88
510,650,2 hab.,85,7.65
511,850,2 hab.,94,9.04
512,1300,3 hab.,172,7.56
513,580,1 hab.,67,8.66
514,1900,3 hab.,120,15.83
515,1900,3 hab.,120,15.83
516,750,1 hab.,80,9.38
517,1700,3 hab.,120,14.17
518,1150,3 hab.,150,7.67
519,950,3 hab.,128,7.42
520,700,4 hab.,99,7.07
521,1050,2 hab.,130,8.08
522,900,1 hab.,70,12.86
523,1800,4 hab.,250,7.2
524,825,3 hab.,125,6.6
525,1500,4 hab.,260,5.77
526,485,1 hab.,60,8.08
527,800,2 hab.,96,8.33
528,710,3 hab.,104,6.83
529,1100,3 hab.,109,10.09
530,2500,4 hab.,215,11.63
531,975,3 hab.,120,8.12
532,1700,2 hab.,100,17.0
533,1750,3 hab.,154,11.36
534,1280,4 hab.,260,4.92
535,1490,3 hab.,198,7.53
536,1200,3 hab.,160,7.5
537,2000,4 hab.,230,8.7
538,1080,4 hab.,120,9.0
539,950,3 hab.,160,5.94
540,990,4 hab.,144,6.88
541,1300,4 hab.,250,5.2
542,550,2 hab.,58,9.48
543,530,3 hab.,75,7.07
544,500,1 hab.,54,9.26
545,650,2 hab.,75,8.67
546,850,4 hab.,90,9.44
547,600,1 hab.,60,10.0
548,650,1 hab.,60,10.83
549,990,3 hab.,287,3.45
550,650,2 hab.,68,9.56
551,750,2 hab.,90,8.33
552,1100,5 hab.,180,6.11
553,680,3 hab.,95,7.16
554,820,2 hab.,110,7.45
555,950,2 hab.,70,13.57
556,950,2 hab.,85,11.18
557,1200,1 hab.,85,14.12
558,1400,4 hab.,145,9.66
559,1300,3 hab.,100,13.0
560,830,3 hab.,87,9.54
561,800,2 hab.,87,9.2
562,480,,40,12.0
563,1100,4 hab.,180,6.11
564,650,4 hab.,105,6.19
565,595,1 hab.,52,11.44
566,550,2 hab.,50,11.0
567,850,2 hab.,108,7.87
568,650,1 hab.,54,12.04
569,750,3 hab.,90,8.33
570,900,1 hab.,70,12.86
571,1200,3 hab.,240,5.0
572,1300,3 hab.,180,7.22
573,1200,3 hab.,180,6.67
574,1800,2 hab.,116,15.52
575,850,3 hab.,135,6.3
576,800,,85,9.41
577,1300,2 hab.,255,5.1
578,750,3 hab.,113,6.64
579,680,3 hab.,105,6.48
580,780,3 hab.,90,8.67
581,950,3 hab.,94,10.11
582,950,3 hab.,90,10.56
583,680,2 hab.,65,10.46
584,900,3 hab.,71,12.68
